birth_year,district,any_shot,shots_1,shots_2,shots_3,birth_count,coverage,age_group
2018,Quận 10,554,552,2,0,2277,0.24330259112867808,[0-1)
2018,Quận 10,1286,979,285,20,2277,0.56477821695213,all
2019,Quận 10,1118,1101,17,0,2092,0.5344168260038241,[0-1)
2019,Quận 10,1904,713,1167,23,2092,0.9101338432122371,all
2020,Quận 10,1281,1241,40,0,1854,0.6909385113268608,[0-1)
2020,Quận 10,1689,396,1285,8,1854,0.9110032362459547,all
2021,Quận 10,1069,1048,21,0,1775,0.6022535211267606,[0-1)
2021,Quận 10,1191,710,480,1,1775,0.6709859154929577,all
2014,Quận 11,36,35,1,0,1520,0.02368421052631579,[0-1)
2014,Quận 11,582,537,42,3,1520,0.3828947368421053,all
2015,Quận 11,700,696,4,0,3520,0.19886363636363635,[0-1)
2015,Quận 11,1789,1431,324,32,3520,0.5082386363636363,all
2016,Quận 11,940,927,13,0,3278,0.2867602196461257,[0-1)
2016,Quận 11,2178,1441,631,99,3278,0.6644295302013423,all
2017,Quận 11,914,899,15,0,3096,0.29521963824289404,[0-1)
2017,Quận 11,1970,1332,560,77,3096,0.6363049095607235,all
2018,Quận 11,682,674,8,0,2803,0.2433107384944702,[0-1)
2018,Quận 11,1483,1152,301,30,2803,0.5290759900107028,all
2019,Quận 11,1442,1413,29,0,2570,0.5610894941634241,[0-1)
2019,Quận 11,2242,849,1359,34,2570,0.8723735408560311,all
2020,Quận 11,1506,1437,69,0,2248,0.6699288256227758,[0-1)
2020,Quận 11,1960,459,1492,9,2248,0.8718861209964412,all
2021,Quận 11,1163,1127,36,0,1960,0.5933673469387755,[0-1)
2021,Quận 11,1268,725,540,3,1960,0.6469387755102041,all
2014,Quận 12,229,228,1,0,5651,0.040523801097150945,[0-1)
2014,Quận 12,2740,2400,298,40,5651,0.4848699345248629,all
2015,Quận 12,2141,2135,6,0,11459,0.18684003839776595,[0-1)
2015,Quận 12,6162,4774,1167,196,11459,0.5377432585740466,all
2016,Quận 12,2487,2483,4,0,12015,0.2069912609238452,[0-1)
2016,Quận 12,6710,4906,1536,246,12015,0.558468580940491,all
2017,Quận 12,2890,2876,14,0,11924,0.24236833277423683,[0-1)
2017,Quận 12,6831,4646,1874,299,11924,0.5728782287822878,all
2018,Quận 12,2327,2318,9,0,10345,0.22493958434026098,[0-1)
2018,Quận 12,5744,4230,1358,154,10345,0.5552440792653456,all
2019,Quận 12,5753,5677,76,0,10580,0.5437618147448016,[0-1)
2019,Quận 12,9355,3462,5441,443,10580,0.8842155009451795,all
2020,Quận 12,5758,5606,152,0,9676,0.5950806118230674,[0-1)
2020,Quận 12,8106,2080,5799,220,9676,0.8377428689541133,all
2021,Quận 12,4660,4585,75,0,7905,0.5895003162555345,[0-1)
2021,Quận 12,5271,3221,2034,16,7905,0.6667931688804554,all
2022,Quận 12,1,1,0,0,3087,3.2393909944930353e-4,[0-1)
2022,Quận 12,1,1,0,0,3087,3.2393909944930353e-4,all
2014,Quận 2,22,22,0,0,1941,0.011334363730036065,[0-1)
2014,Quận 2,657,611,45,1,1941,0.3384853168469861,all
2015,Quận 2,559,559,0,0,3655,0.15294117647058825,[0-1)
2015,Quận 2,1756,1478,247,27,3655,0.480437756497948,all
2016,Quận 2,711,707,4,0,3507,0.20273738237810093,[0-1)
2016,Quận 2,2086,1523,489,71,3507,0.5948103792415169,all
2017,Quận 2,804,802,2,0,3311,0.2428269405013591,[0-1)
2017,Quận 2,1970,1380,519,71,3311,0.5949864089398973,all
2018,Quận 2,748,738,10,0,3394,0.22038892162639953,[0-1)
2018,Quận 2,1676,1278,365,33,3394,0.4938126104890984,all
2019,Quận 2,1847,1817,30,0,3488,0.5295298165137615,[0-1)
2019,Quận 2,3041,1138,1861,41,3488,0.8718463302752294,all
2020,Quận 2,2085,2011,74,0,3215,0.6485225505443235,[0-1)
2020,Quận 2,2752,570,2155,27,3215,0.8559875583203732,all
2021,Quận 2,1349,1317,32,0,2179,0.6190913262964662,[0-1)
2021,Quận 2,1518,762,753,3,2179,0.6966498393758604,all
2014,Quận 3,75,75,0,0,1869,0.04012841091492777,[0-1)
2014,Quận 3,721,644,70,7,1869,0.3857677902621723,all
2015,Quận 3,334,333,1,0,2612,0.12787136294027565,[0-1)
2015,Quận 3,1229,993,213,21,2612,0.47052067381317,all
2016,Quận 3,369,368,1,0,2226,0.16576819407008087,[0-1)
2016,Quận 3,1199,875,288,34,2226,0.5386343216531896,all
2017,Quận 3,390,388,2,0,1781,0.21897810218978103,[0-1)
2017,Quận 3,1083,750,297,36,1781,0.6080853453116227,all
2018,Quận 3,362,359,3,0,1717,0.21083284799068142,[0-1)
2018,Quận 3,938,712,202,24,1717,0.5463016889924287,all
2019,Quận 3,894,882,12,0,1568,0.5701530612244898,[0-1)
2019,Quận 3,1454,466,953,33,1568,0.9272959183673469,all
2020,Quận 3,1045,1008,37,0,1352,0.7729289940828402,[0-1)
2020,Quận 3,1307,183,1087,37,1352,0.966715976331361,all
2021,Quận 3,784,762,22,0,1170,0.67008547008547,[0-1)
2021,Quận 3,841,480,359,2,1170,0.7188034188034188,all
2022,Quận 3,1,1,0,0,447,0.0022371364653243847,[0-1)
2022,Quận 3,1,1,0,0,447,0.0022371364653243847,all
2014,Quận 4,15,15,0,0,927,0.016181229773462782,[0-1)
2014,Quận 4,298,276,22,0,927,0.3214670981661273,all
2015,Quận 4,430,426,4,0,2212,0.19439421338155516,[0-1)
2015,Quận 4,1153,921,208,22,2212,0.52124773960217,all
2016,Quận 4,495,492,3,0,2257,0.21931767833407179,[0-1)
2016,Quận 4,1232,890,312,29,2257,0.5458573327425786,all
2017,Quận 4,688,685,3,0,2605,0.2641074856046065,[0-1)
